zipf,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
0.5,13100.45017855155,10.691650390625,11.388671875,11.70458984375,12.99755859375,200.84716796875,201.506591796875,201.818359375,218.441650390625
0.5,13373.112116143844,10.689453125,11.412353515625,11.732421875,12.939453125,200.842529296875,201.40966796875,201.636474609375,202.450439453125
0.5,13153.526178736241,10.671630859375,11.388671875,11.697998046875,12.883544921875,200.84326171875,201.42626953125,201.677978515625,202.57666015625
0.6,13012.166182951012,10.700927734375,11.434326171875,11.797119140625,20.7666015625,200.84912109375,201.467529296875,201.754150390625,305.71728515625
0.6,13010.01129750961,10.700927734375,11.452880859375,11.81689453125,17.60595703125,200.852294921875,201.46435546875,201.7587890625,306.404296875
0.7,10153.74330014624,10.72802734375,11.765625,12.4990234375,93.59326171875,200.8974609375,201.767822265625,206.05859375,804.175537109375
0.7,10153.74330014624,10.72802734375,11.765625,12.4990234375,93.59326171875,200.8974609375,201.767822265625,206.05859375,804.175537109375
0.7,9803.592733335845,10.710693359375,11.70361328125,12.374755859375,95.712158203125,200.87841796875,201.704833984375,202.62353515625,1202.448974609375
0.7,9803.592733335845,10.710693359375,11.70361328125,12.374755859375,95.712158203125,200.87841796875,201.704833984375,202.62353515625,1202.448974609375
0.7,9775.26512453287,10.74462890625,11.722900390625,12.385498046875,93.766357421875,200.890869140625,201.6513671875,202.22216796875,1005.199462890625
0.7,9775.26512453287,10.74462890625,11.722900390625,12.385498046875,93.766357421875,200.890869140625,201.6513671875,202.22216796875,1005.199462890625
0.8,5720.482274697765,11.08056640625,13.889404296875,41.94287109375,137.645751953125,201.109375,306.532470703125,422.0830078125,1608.746826171875
0.8,5720.482274697765,11.08056640625,13.889404296875,41.94287109375,137.645751953125,201.109375,306.532470703125,422.0830078125,1608.746826171875
0.8,6178.311385716211,11.112060546875,14.388427734375,42.78466796875,136.152587890625,201.1162109375,203.91943359375,402.656005859375,1806.78759765625
0.8,6178.311385716211,11.112060546875,14.388427734375,42.78466796875,136.152587890625,201.1162109375,203.91943359375,402.656005859375,1806.78759765625
0.8,5955.820754018941,11.125244140625,14.578369140625,34.62890625,128.70556640625,201.1455078125,203.658203125,403.059814453125,2121.5908203125
0.8,5955.820754018941,11.125244140625,14.578369140625,34.62890625,128.70556640625,201.1455078125,203.658203125,403.059814453125,2121.5908203125
0.9,2975.311112353475,12.238037109375,63.58154296875,109.218505859375,221.764404296875,201.509765625,623.94091796875,1261.5361328125,3318.516357421875
0.9,2975.311112353475,12.238037109375,63.58154296875,109.218505859375,221.764404296875,201.509765625,623.94091796875,1261.5361328125,3318.516357421875
0.9,3157.8976747170773,12.33154296875,60.531494140625,107.69873046875,221.083740234375,201.5078125,606.3984375,1207.18505859375,2817.98876953125
0.9,3157.8976747170773,12.33154296875,60.531494140625,107.69873046875,221.083740234375,201.5078125,606.3984375,1207.18505859375,2817.98876953125
0.9,2822.5808029883547,12.0087890625,63.686767578125,109.372314453125,217.836181640625,201.524658203125,606.3818359375,1373.81298828125,2937.124755859375
0.9,2822.5808029883547,12.0087890625,63.686767578125,109.372314453125,217.836181640625,201.524658203125,606.3818359375,1373.81298828125,2937.124755859375
1.0,1254.9944299905171,13.697021484375,114.037109375,166.0322265625,242.890380859375,202.32421875,1208.227294921875,2009.217529296875,3617.393798828125
1.0,1254.9944299905171,13.697021484375,114.037109375,166.0322265625,242.890380859375,202.32421875,1208.227294921875,2009.217529296875,3617.393798828125
1.0,1483.0586357217946,13.15625,111.748779296875,166.855224609375,244.87646484375,202.16650390625,1423.940185546875,2225.24658203125,3823.68798828125
1.0,1483.0586357217946,13.15625,111.748779296875,166.855224609375,244.87646484375,202.16650390625,1423.940185546875,2225.24658203125,3823.68798828125
1.0,1315.9546547944835,13.49267578125,118.9951171875,174.560791015625,259.860595703125,202.4619140625,1408.923828125,2209.775634765625,3616.16357421875
1.0,1315.9546547944835,13.49267578125,118.9951171875,174.560791015625,259.860595703125,202.4619140625,1408.923828125,2209.775634765625,3616.16357421875
