client_per_region,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
2,194.7981340417854,20.322998046875,23.39404296875,23.98779296875,26.34326171875,264.270263671875,270.09130859375,270.998046875,272.403076171875
2,184.80385418298704,20.296875,23.371826171875,23.9140625,26.06201171875,223.54541015625,270.1064453125,271.4658203125,272.02880859375
2,175.33181279865653,20.35107421875,23.51611328125,23.94970703125,26.227783203125,264.5634765625,270.10400390625,271.17041015625,272.26611328125
10,919.6221943222231,20.687255859375,24.5234375,26.6494140625,64.57666015625,264.9189453125,270.088134765625,271.30126953125,291.198486328125
10,884.5762884292208,20.62890625,24.211181640625,25.64013671875,66.257080078125,225.29296875,270.10986328125,271.6806640625,307.211181640625
10,884.5413848345382,20.663330078125,24.503173828125,26.7265625,87.05419921875,264.77001953125,270.381103515625,271.49609375,304.558837890625
20,1766.1841815395962,21.1298828125,27.503173828125,32.841552734375,79.07568359375,265.1943359375,271.04052734375,272.14892578125,291.2265625
20,1582.237420541344,21.08349609375,27.973876953125,43.495849609375,91.423095703125,264.889892578125,270.533203125,272.146484375,286.796630859375
20,1750.9248659710331,21.225830078125,28.611083984375,41.991455078125,93.37353515625,265.162353515625,270.582275390625,271.673095703125,277.428955078125
30,2430.102201752955,23.052734375,35.677978515625,58.838134765625,102.4189453125,266.58642578125,273.25,276.33642578125,297.484619140625
30,2335.8188573458706,22.821533203125,38.468505859375,63.50244140625,112.32080078125,267.296875,275.87255859375,291.516845703125,397.767822265625
30,2359.04983918865,23.3427734375,37.76220703125,63.80322265625,113.456787109375,266.979248046875,278.05126953125,295.772705078125,365.475830078125
40,3018.818590681761,25.762451171875,50.772705078125,71.185302734375,113.92333984375,268.585205078125,279.54345703125,287.291748046875,307.103515625
40,2928.0819849660907,25.7099609375,55.393310546875,77.886962890625,121.77783203125,268.67578125,291.77197265625,314.064208984375,371.1162109375
40,3000.2387309524993,25.828857421875,51.657958984375,70.541748046875,113.9853515625,267.717041015625,280.35205078125,287.6962890625,308.368896484375
50,3356.5915503901965,28.624755859375,67.51318359375,91.96875,129.90380859375,270.606689453125,304.639404296875,339.180419921875,412.623779296875
50,3446.8698003306504,28.550537109375,66.22314453125,90.961669921875,126.597900390625,270.32666015625,289.30126953125,302.89453125,324.818115234375
50,3337.0420603657317,28.341796875,68.3447265625,96.569091796875,128.629150390625,270.048583984375,293.393798828125,308.689697265625,326.91259765625
60,3835.7169867732414,31.322998046875,74.70751953125,101.100341796875,130.12548828125,271.500244140625,298.836181640625,311.073974609375,330.9169921875
60,3689.53127529883,31.55322265625,82.7890625,111.0048828125,158.235107421875,272.67138671875,315.591064453125,353.725830078125,413.0185546875
60,3833.3055851765334,31.6171875,74.66455078125,99.85693359375,133.884765625,271.373779296875,296.655029296875,307.423828125,331.84619140625
4,377.08100056729916,20.3291015625,23.265380859375,24.063720703125,26.138916015625,264.5283203125,270.145263671875,271.6572265625,275.284912109375
4,371.83224556185695,20.375732421875,23.462890625,24.119140625,26.300048828125,264.203125,269.65869140625,270.71728515625,272.2138671875
4,359.6714925451291,20.35986328125,23.03271484375,24.1513671875,26.631103515625,264.38330078125,269.58837890625,270.3583984375,271.03173828125
20,1754.0804052607018,20.847900390625,25.165771484375,31.359619140625,89.468994140625,264.83544921875,270.190673828125,271.361572265625,284.953125
20,1709.4295348038327,20.841796875,25.982421875,42.909912109375,94.86865234375,257.160400390625,270.252685546875,271.257080078125,283.861083984375
20,1777.8623805604525,20.86962890625,25.5146484375,35.69384765625,97.9619140625,265.3720703125,271.587158203125,293.29248046875,371.20166015625
40,3073.891641126513,22.680419921875,48.1748046875,71.455810546875,116.51953125,267.10986328125,291.2734375,350.040283203125,480.746337890625
40,3109.7574829544524,23.023681640625,52.0615234375,70.039306640625,107.830322265625,267.559326171875,277.37353515625,287.450927734375,306.5693359375
40,3090.3200813643193,22.9873046875,53.24755859375,73.0712890625,112.67626953125,267.656982421875,279.976318359375,292.3896484375,312.13232421875
60,4078.627720837142,26.685791015625,72.480224609375,101.751708984375,125.14013671875,269.814697265625,298.486083984375,309.649658203125,331.762451171875
60,3795.6459747247663,27.6162109375,73.32421875,105.834228515625,150.377685546875,270.79296875,303.27587890625,314.82568359375,366.457763671875
60,3977.473048394104,27.404052734375,76.835205078125,105.2109375,136.500732421875,269.82275390625,304.779052734375,320.406005859375,352.809814453125
80,4610.5362660720575,31.04296875,90.730712890625,112.650390625,162.31298828125,274.23681640625,336.3447265625,501.515380859375,591.663330078125
80,4600.519297951699,31.99658203125,102.964111328125,122.728515625,165.562744140625,274.61669921875,327.507080078125,354.192626953125,395.336669921875
80,4513.137052838229,33.26904296875,103.102294921875,121.809326171875,163.888427734375,274.533935546875,319.941650390625,337.668212890625,370.952392578125
100,4822.534514597382,38.68603515625,117.51123046875,149.26123046875,236.31689453125,284.845947265625,375.004150390625,534.90185546875,619.404541015625
100,5016.907886142757,40.19189453125,115.628662109375,138.99658203125,175.436279296875,282.601806640625,337.397216796875,352.791015625,381.8486328125
100,4971.724521059879,39.134521484375,115.338134765625,137.081298828125,176.714111328125,281.7041015625,333.75,351.168701171875,384.385986328125
120,5408.075415854057,47.826416015625,127.26123046875,156.1318359375,197.27734375,291.4267578125,348.337890625,366.849609375,400.16796875
120,5143.4034944206915,47.296875,129.67138671875,157.9814453125,375.094482421875,289.36474609375,365.132568359375,435.651611328125,665.06103515625
120,5707.650281395853,46.059814453125,123.727783203125,145.0576171875,176.564697265625,286.796630859375,341.27978515625,362.070556640625,395.77197265625
6,527.9574239388891,20.391845703125,23.26513671875,24.3037109375,55.894287109375,264.44140625,269.224609375,270.42578125,320.19384765625
6,566.0218986124564,20.423828125,23.270751953125,24.4228515625,52.156005859375,264.6279296875,269.30322265625,270.793701171875,272.082275390625
6,574.4303539410197,20.42529296875,23.184326171875,24.358154296875,42.486572265625,256.624267578125,269.2587890625,270.427734375,304.485107421875
30,2515.531923797098,21.155029296875,28.179931640625,56.477783203125,98.814208984375,264.314208984375,271.1015625,274.339599609375,297.62353515625
30,2443.3019439010263,21.206787109375,32.493896484375,63.125732421875,109.378173828125,265.8740234375,275.5849609375,316.910400390625,409.7216796875
30,2495.62429822958,21.2294921875,33.594970703125,60.224609375,105.58740234375,265.58056640625,271.893310546875,277.17529296875,309.76220703125
60,4087.161010013303,25.722412109375,71.414794921875,98.380615234375,127.31396484375,269.903076171875,297.678955078125,311.112060546875,343.681640625
60,4081.5862014347726,25.3291015625,70.284912109375,97.501953125,126.08447265625,269.522216796875,295.41845703125,305.427734375,323.986083984375
60,4063.942620348428,25.570068359375,69.699462890625,102.817626953125,155.193115234375,269.928466796875,304.630859375,323.685546875,382.256103515625
90,5011.759260866168,32.377685546875,104.5576171875,121.80078125,163.15380859375,276.172607421875,323.12109375,338.668701171875,367.133544921875
90,5011.759260866168,32.377685546875,104.5576171875,121.80078125,163.15380859375,276.172607421875,323.12109375,338.668701171875,367.133544921875
90,5027.159942405259,32.190185546875,105.396240234375,123.25537109375,169.302001953125,275.67822265625,322.13134765625,338.54150390625,376.95947265625
90,5194.932041849028,32.0703125,100.83447265625,119.113037109375,163.450439453125,275.493408203125,322.489501953125,340.615966796875,381.4873046875
120,5507.654984817735,44.00146484375,129.601806640625,157.9794921875,207.288330078125,289.67431640625,348.375732421875,367.562255859375,397.190185546875
120,5521.534437501784,44.70751953125,128.20703125,156.388916015625,204.774658203125,286.8876953125,351.91015625,371.04345703125,407.002685546875
120,5505.566839624635,42.822509765625,131.035888671875,163.32861328125,222.49560546875,289.72998046875,369.846435546875,400.729248046875,444.59716796875
150,6339.4404736212555,57.76318359375,136.15380859375,158.98974609375,190.85498046875,293.2607421875,346.9384765625,364.10009765625,395.380126953125
150,6316.845762531628,55.826416015625,137.201904296875,161.814208984375,199.990234375,293.1064453125,353.59912109375,375.1474609375,411.3759765625
150,6098.6104227976475,54.81005859375,154.485595703125,175.5390625,223.990234375,303.42578125,374.647705078125,393.67919921875,439.755615234375
180,6357.1020693952905,78.783203125,163.359130859375,180.61572265625,233.72998046875,311.851318359375,379.014404296875,401.27880859375,447.56640625
180,6266.467386530587,80.304443359375,172.817138671875,198.42041015625,240.8515625,316.93212890625,393.55224609375,414.67333984375,444.403076171875
180,6547.299339638066,76.38037109375,158.385498046875,174.21240234375,216.2177734375,310.34033203125,367.332275390625,385.959228515625,432.242431640625
