zipf,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
0.5,13143.010549618519,11.2451171875,13.501708984375,14.45849609375,16.2998046875,201.29248046875,202.7470703125,203.379638671875,204.6962890625
0.5,12827.053301938682,11.172607421875,13.43017578125,14.388671875,15.973876953125,201.225341796875,202.62255859375,203.149658203125,204.326416015625
0.5,12731.42862301837,11.193359375,13.27392578125,14.125244140625,15.841796875,201.28564453125,202.718017578125,203.4306640625,247.527099609375
0.6,12704.790448096654,11.2314453125,13.556396484375,14.5048828125,16.1962890625,201.2822265625,202.899169921875,203.842529296875,281.73583984375
0.6,12875.456247737484,11.168701171875,13.3662109375,14.274169921875,15.8623046875,201.234130859375,202.704833984375,203.30029296875,204.679931640625
0.6,12854.95713277252,11.284423828125,13.725341796875,14.689453125,16.30419921875,201.28857421875,202.8115234375,203.393798828125,204.5712890625
0.7,12743.96356710576,11.26904296875,13.519287109375,14.439453125,15.964111328125,201.295166015625,202.7822265625,203.386474609375,204.656494140625
0.7,12743.133960536637,11.28076171875,13.959228515625,14.930419921875,16.603271484375,201.306640625,203.0244140625,203.865966796875,245.93115234375
0.8,12727.752544212912,11.41357421875,14.089111328125,14.941650390625,16.375,201.3515625,202.9482421875,203.557861328125,204.745849609375
0.8,12809.047201709891,11.43359375,13.963623046875,14.77587890625,16.241455078125,201.368896484375,203.00146484375,203.666015625,205.0712890625
0.8,12119.323052370826,11.4375,14.2109375,15.176513671875,17.077392578125,201.40380859375,203.28076171875,205.095703125,457.353271484375
0.9,12761.372100139439,11.62109375,14.6533203125,15.490478515625,16.854736328125,201.43603515625,203.162353515625,203.840087890625,205.307373046875
0.9,12722.26955404913,11.569091796875,14.33056640625,15.195068359375,16.760498046875,201.41015625,203.21923828125,204.0400390625,244.900634765625
0.9,12731.29770193408,11.511474609375,14.3232421875,15.21240234375,16.641357421875,201.399169921875,203.0859375,203.747802734375,204.870849609375
1.0,12753.24040421591,11.81298828125,14.968505859375,15.873046875,17.466796875,201.5380859375,203.524658203125,204.40673828125,252.707763671875
1.0,12318.781606147646,11.76416015625,14.737060546875,15.671630859375,17.319580078125,201.551025390625,203.552734375,204.4619140625,299.8798828125
1.0,12704.278591022356,11.7060546875,14.629638671875,15.59375,17.103271484375,201.4931640625,203.30029296875,204.016357421875,205.550048828125
