crt_ratio,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
1,4346.422944536296,21.287109375,25.08447265625,56.12890625,102.480712890625,266.228759765625,273.55517578125,290.06640625,304.997802734375
1,4481.339520229386,21.227783203125,24.47412109375,49.609130859375,101.769775390625,265.60107421875,271.091796875,284.22216796875,313.3955078125
1,4448.850125803642,21.25634765625,24.601806640625,54.0595703125,108.111572265625,265.955322265625,282.3369140625,291.784423828125,344.463134765625
10,2035.2861281021098,21.33349609375,78.92333984375,103.154052734375,141.023681640625,267.1904296875,306.239013671875,317.10302734375,346.0166015625
10,2037.7797063976693,21.417236328125,84.761962890625,107.42626953125,145.817626953125,267.00732421875,300.9404296875,313.940673828125,341.11474609375
10,2126.695843555298,21.324951171875,70.066650390625,101.21142578125,137.113037109375,266.84130859375,301.38671875,314.6494140625,347.0263671875
20,1457.4966608663144,21.4599609375,82.017333984375,104.69775390625,137.383056640625,266.4521484375,293.9228515625,306.074462890625,333.966064453125
20,1450.8267105250281,21.485107421875,84.477783203125,107.426025390625,125.21142578125,266.12353515625,293.23486328125,305.752685546875,326.2412109375
20,1400.4569239285722,21.49951171875,94.655517578125,110.94970703125,142.6337890625,266.41162109375,293.274169921875,307.15283203125,333.539794921875
30,1135.015697785964,22.361572265625,92.102294921875,103.931640625,122.089599609375,265.927490234375,285.201904296875,297.397705078125,321.71630859375
30,1178.739208432426,21.546875,75.002685546875,102.57275390625,119.99609375,265.401611328125,279.451171875,287.365234375,305.446533203125
30,1117.3626238017566,21.95166015625,100.896484375,112.28759765625,125.37158203125,265.96240234375,285.414794921875,295.790771484375,314.697265625
40,950.3211393675319,22.11083984375,86.9951171875,104.638671875,119.172119140625,264.957275390625,276.669189453125,286.217041015625,302.13330078125
40,913.4175080322417,22.901611328125,97.860107421875,111.23681640625,137.9072265625,265.715087890625,284.190673828125,297.528076171875,324.34716796875
40,917.6618392909394,22.86083984375,96.28369140625,108.3515625,128.3203125,265.35009765625,279.24609375,288.62939453125,309.5673828125
50,814.0673764179678,23.0029296875,101.594970703125,112.0634765625,129.3603515625,265.324462890625,278.85498046875,291.85888671875,309.55078125
50,797.1669545506763,24.70703125,104.822021484375,114.721923828125,124.868896484375,265.328857421875,283.372314453125,293.614990234375,310.792236328125
50,778.186384923342,29.208251953125,110.94482421875,115.2587890625,119.559326171875,265.4296875,279.80712890625,293.150634765625,311.488037109375
60,679.834814909779,30.885986328125,108.599609375,113.696044921875,133.842041015625,265.208740234375,280.869140625,293.717041015625,309.262939453125
60,712.1167748899724,22.813232421875,104.2119140625,111.626708984375,123.5908203125,265.18359375,275.050048828125,290.232666015625,308.865966796875
60,720.3548735276837,24.12744140625,86.57421875,102.2060546875,116.798583984375,264.55126953125,269.919677734375,279.596435546875,299.694580078125
70,626.7492794999989,36.113525390625,100.921875,112.057861328125,125.05419921875,264.84814453125,270.478515625,284.0458984375,304.1005859375
70,632.3934825622664,25.377685546875,99.164306640625,110.04150390625,118.318359375,264.790283203125,269.75732421875,279.515625,298.17578125
70,626.7293285135999,28.686767578125,100.003173828125,110.80615234375,117.796630859375,264.954345703125,272.61279296875,283.64306640625,303.555908203125
80,571.5230498378926,30.44140625,101.349365234375,112.08154296875,120.022705078125,264.886962890625,270.46142578125,281.7109375,303.873046875
80,568.6234239622208,32.30224609375,108.774658203125,115.093505859375,122.798583984375,264.7666015625,270.2802734375,285.744873046875,307.824462890625
80,576.4739887735873,30.63671875,101.03271484375,111.218505859375,118.309814453125,264.55810546875,269.350830078125,276.51708984375,297.32763671875
90,525.8011407120853,37.105712890625,100.916259765625,112.177734375,118.055419921875,264.65576171875,269.57275390625,275.8779296875,299.709716796875
90,517.4875146132434,38.526611328125,99.63623046875,112.311767578125,118.079833984375,264.626220703125,269.48583984375,274.162841796875,301.715576171875
90,526.9533796485556,40.966064453125,107.109375,114.95703125,119.106201171875,264.5712890625,269.44384765625,277.373779296875,302.06884765625
