client_per_region,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
2,246.0206694577406,11.73779296875,15.0693359375,15.601806640625,16.13916015625,210.089599609375,211.949951171875,212.672607421875,214.90478515625
2,246.24279551905994,11.814697265625,15.089599609375,15.494384765625,16.282470703125,209.990478515625,213.744384765625,217.0224609375,326.16748046875
2,248.2501921491767,11.74462890625,15.0732421875,15.5771484375,16.181396484375,209.7646484375,211.6513671875,212.245361328125,212.8466796875
10,1240.6183945024145,11.993408203125,15.013916015625,15.69921875,17.22900390625,211.090087890625,215.803955078125,217.893798828125,449.944580078125
10,1243.7549027391005,12.10302734375,15.1962890625,15.890625,17.572021484375,210.7001953125,214.52197265625,215.8876953125,219.079833984375
10,1153.0277195937506,12.01318359375,15.149169921875,15.811279296875,17.230712890625,210.598876953125,214.287841796875,215.58544921875,218.004638671875
20,2341.9813323870935,12.427978515625,15.8837890625,17.042236328125,20.131103515625,212.0693359375,218.604248046875,256.81591796875,558.900146484375
20,2471.1020372410003,12.396728515625,15.769775390625,16.972412109375,19.515380859375,211.75244140625,216.421630859375,217.90625,221.515380859375
20,2454.346563917565,12.432373046875,15.949951171875,17.197509765625,20.20849609375,211.827392578125,216.6513671875,218.564697265625,223.89453125
30,3635.965952317974,13.192626953125,17.58544921875,19.44287109375,23.4599609375,213.3603515625,219.1904296875,221.6884765625,227.5146484375
30,3610.7067167356568,13.218994140625,17.343505859375,18.864501953125,22.64404296875,213.2275390625,219.647705078125,221.765869140625,234.654052734375
30,3625.5318400850756,13.107177734375,17.63427734375,19.340576171875,23.08544921875,213.0478515625,218.740234375,221.45703125,226.394287109375
40,4477.606503804162,14.052490234375,19.4130859375,21.53564453125,26.562255859375,215.051513671875,224.815185546875,249.839599609375,493.0234375
40,4627.495584738434,14.1982421875,19.388916015625,21.398193359375,25.80224609375,214.54345703125,222.308349609375,224.899658203125,231.1142578125
40,4614.721086778919,14.20166015625,19.59716796875,21.6044921875,26.18359375,214.615478515625,222.47314453125,225.22802734375,234.872314453125
50,5483.370230296336,15.7734375,22.099853515625,24.47265625,29.423095703125,216.49853515625,225.50634765625,228.801513671875,236.815673828125
50,5483.793158449551,15.694091796875,21.723388671875,23.97509765625,29.345947265625,216.768798828125,227.024169921875,232.548583984375,286.699462890625
50,5505.9394516270795,16.065185546875,22.260986328125,24.370361328125,28.791259765625,216.746337890625,225.7568359375,228.8193359375,239.26025390625
60,6284.207011782495,17.8740234375,25.398681640625,28.369873046875,35.311767578125,219.0673828125,231.353515625,239.44921875,283.166015625
60,6310.249352835713,17.623291015625,24.860107421875,27.5869140625,33.28369140625,218.40625,228.114990234375,231.533203125,240.66552734375
60,6222.071065230946,17.43212890625,24.94677734375,27.74072265625,34.368896484375,218.419921875,229.21044921875,233.79150390625,263.336669921875
4,493.2022163534909,11.693115234375,15.00439453125,15.480712890625,16.21484375,210.1875,212.239013671875,212.981201171875,216.03955078125
4,492.04413383383377,11.744140625,15.08349609375,15.570068359375,16.163330078125,209.8447265625,212.461669921875,213.654296875,217.19140625
4,509.294959878077,11.687255859375,14.8779296875,15.42041015625,16.156982421875,210.160400390625,212.549560546875,215.1708984375,216.29541015625
20,2512.686958045981,11.94384765625,14.847900390625,15.525634765625,17.110595703125,211.2421875,215.54931640625,217.032470703125,220.55126953125
20,2384.395485672403,11.95556640625,14.830078125,15.59423828125,17.434326171875,211.27685546875,216.99658203125,232.0205078125,430.7705078125
20,2533.401001923865,11.91357421875,14.836669921875,15.481201171875,17.206787109375,211.158935546875,216.045654296875,217.683837890625,220.892578125
40,4850.882988082755,12.63134765625,15.5263671875,16.53271484375,18.91162109375,213.611083984375,220.689453125,223.093505859375,232.87255859375
40,4840.274544414032,12.70751953125,15.717041015625,16.770263671875,19.4736328125,214.004638671875,221.364013671875,226.505615234375,270.7255859375
40,4945.820973134678,12.612060546875,15.564208984375,16.635009765625,19.19091796875,213.806640625,221.39501953125,226.78759765625,313.32373046875
60,6880.138667922613,13.507568359375,17.407470703125,18.9208984375,22.77587890625,217.0517578125,230.904541015625,241.425048828125,294.734375
60,6843.885562358759,13.58984375,17.67431640625,19.29296875,23.214599609375,216.93603515625,230.524169921875,240.218017578125,326.35693359375
60,7069.02059309883,13.53759765625,17.3486328125,18.80029296875,22.1171875,217.44873046875,231.039794921875,240.789306640625,277.957763671875
80,8640.713916327864,15.701171875,21.7451171875,24.1396484375,29.64892578125,222.17724609375,242.77197265625,256.87548828125,351.85009765625
80,8672.962648999823,15.62841796875,21.41650390625,23.576171875,28.394287109375,221.727294921875,238.110595703125,245.983642578125,261.318603515625
80,8672.962648999823,15.62841796875,21.41650390625,23.576171875,28.394287109375,221.727294921875,238.110595703125,245.983642578125,261.318603515625
80,8644.081505511318,15.6083984375,21.277587890625,23.414794921875,27.852294921875,221.630126953125,238.136962890625,245.187255859375,260.571044921875
100,9682.59725113568,18.87890625,26.944580078125,29.90380859375,36.729736328125,228.1533203125,250.23193359375,262.047119140625,335.990966796875
100,9626.516894436292,19.072021484375,27.155029296875,30.1865234375,36.794921875,227.879150390625,250.695068359375,271.2255859375,403.030517578125
100,9802.632384178089,19.123779296875,27.14990234375,30.039306640625,36.098876953125,228.47119140625,247.108154296875,254.838623046875,273.67578125
120,10370.270396660113,23.507080078125,34.0380859375,37.992919921875,47.23095703125,235.52294921875,260.023193359375,275.20166015625,339.63427734375
120,10585.519560272769,23.22314453125,33.716796875,37.342529296875,45.04296875,234.716552734375,255.102783203125,263.3876953125,281.002685546875
