zipf,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
0.5,12432.369256814787,10.693115234375,11.314453125,11.572509765625,12.255615234375,216.091796875,243.458251953125,250.546875,262.48486328125
0.5,12183.076783305807,10.69140625,11.333740234375,11.608154296875,12.570068359375,216.275634765625,251.792236328125,264.943359375,393.15771484375
0.5,12349.799746493656,10.693603515625,11.32373046875,11.581298828125,12.282470703125,216.12353515625,245.768310546875,254.088623046875,262.8974609375
0.6,11700.829999138741,10.696044921875,11.328857421875,11.592529296875,12.422607421875,216.5634765625,258.066650390625,270.1689453125,530.250732421875
0.6,12067.293826531828,10.695068359375,11.33935546875,11.607177734375,12.440673828125,216.826416015625,259.4814453125,295.032958984375,487.32763671875
0.6,12266.815454059062,10.68896484375,11.304931640625,11.552978515625,12.200927734375,216.27392578125,247.733154296875,256.778076171875,266.302734375
0.7,12386.027374979247,10.689208984375,11.30419921875,11.56298828125,12.285888671875,216.04541015625,244.504150390625,251.23388671875,262.9326171875
0.7,12355.231760645109,10.6884765625,11.311279296875,11.57275390625,12.307373046875,216.26708984375,249.33837890625,257.71484375,265.416015625
0.7,12450.573335132498,10.700439453125,11.35205078125,11.6357421875,12.562255859375,216.43359375,246.70263671875,258.3701171875,286.8349609375
0.8,12384.412120998504,10.690185546875,11.315673828125,11.56591796875,12.307861328125,216.256103515625,246.789794921875,254.102783203125,263.513427734375
0.8,12186.1913973233,10.6943359375,11.329833984375,11.60205078125,12.41943359375,216.275634765625,247.1376953125,259.8759765625,352.754638671875
0.8,12416.443359576913,10.68701171875,11.32373046875,11.598876953125,12.430908203125,216.372802734375,252.3701171875,259.79736328125,266.712890625
0.9,12300.904385742248,10.693603515625,11.326904296875,11.5869140625,12.274658203125,216.53564453125,250.79296875,261.358642578125,270.515625
0.9,12420.3308944292,10.6826171875,11.317626953125,11.57666015625,12.333740234375,216.474609375,251.673828125,260.5068359375,266.896728515625
0.9,12360.080501133065,10.681396484375,11.302978515625,11.5439453125,12.21875,216.332763671875,261.162841796875,264.487060546875,268.636474609375
1.0,12285.784855546572,10.67822265625,11.309814453125,11.583740234375,12.361083984375,216.290771484375,246.81494140625,256.48681640625,267.111328125
1.0,12267.210102037863,10.67822265625,11.320068359375,11.586669921875,12.345947265625,216.154296875,244.895263671875,252.703125,263.56640625
1.0,12207.498603525533,10.674560546875,11.323974609375,11.589599609375,12.396240234375,216.608642578125,257.43310546875,263.547119140625,268.835205078125
