crt_ratio,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
1,3354.374572278114,23.489501953125,60.051513671875,94.905029296875,154.5673828125,301.19384765625,417.18994140625,509.371826171875,718.836669921875
1,3355.067299905268,23.210205078125,61.1533203125,94.173583984375,150.849609375,301.50244140625,509.075927734375,515.1025390625,1141.61474609375
1,3373.8805011952827,23.37939453125,61.389892578125,89.8466796875,149.614501953125,301.885498046875,415.994384765625,511.44384765625,925.1845703125
10,2259.5864104035127,19.25927734375,35.4453125,76.00439453125,136.778076171875,301.55615234375,508.12939453125,520.954345703125,921.805419921875
10,2290.071629844044,19.552734375,35.31689453125,76.321044921875,137.096923828125,301.81103515625,507.28076171875,510.642333984375,732.196533203125
10,2234.65654983076,19.4228515625,37.066650390625,81.236328125,146.98486328125,301.5234375,507.67529296875,511.716796875,921.455078125
20,1558.9518256448323,17.44970703125,21.7578125,43.423828125,127.4599609375,301.728759765625,508.246826171875,603.522705078125,923.617431640625
20,1497.8661124649732,17.366455078125,22.404541015625,61.08349609375,141.929443359375,301.6875,507.8603515625,509.82861328125,921.673095703125
20,1497.8661124649732,17.366455078125,22.404541015625,61.08349609375,141.929443359375,301.6875,507.8603515625,509.82861328125,921.673095703125
30,1124.3053831803256,17.003173828125,19.64453125,39.284912109375,128.40625,301.80126953125,414.508544921875,509.025146484375,920.034912109375
30,1124.3053831803256,17.003173828125,19.64453125,39.284912109375,128.40625,301.80126953125,414.508544921875,509.025146484375,920.034912109375
30,1138.930205741471,16.9775390625,19.89111328125,52.8173828125,128.414306640625,301.713134765625,508.136474609375,513.489990234375,922.860107421875
30,1112.6021819044015,16.975341796875,19.13427734375,34.1953125,121.685302734375,301.749755859375,507.82177734375,713.7255859375,922.76806640625
30,1112.6021819044015,16.975341796875,19.13427734375,34.1953125,121.685302734375,301.749755859375,507.82177734375,713.7255859375,922.76806640625
40,900.5191046169609,16.896728515625,18.22509765625,20.89697265625,121.56591796875,301.773193359375,414.2900390625,509.583740234375,1126.95458984375
40,900.5191046169609,16.896728515625,18.22509765625,20.89697265625,121.56591796875,301.773193359375,414.2900390625,509.583740234375,1126.95458984375
40,882.2901137638444,16.928955078125,18.566650390625,35.662109375,123.1767578125,301.792236328125,506.97216796875,518.0859375,1034.915771484375
40,882.2901137638444,16.928955078125,18.566650390625,35.662109375,123.1767578125,301.792236328125,506.97216796875,518.0859375,1034.915771484375
50,737.2249288335571,16.864013671875,18.122314453125,28.62109375,122.225341796875,301.7431640625,415.56640625,519.93115234375,922.4541015625
50,737.2249288335571,16.864013671875,18.122314453125,28.62109375,122.225341796875,301.7431640625,415.56640625,519.93115234375,922.4541015625
50,722.6524170804807,16.875732421875,18.0234375,20.279052734375,120.478515625,301.793701171875,308.23974609375,509.01806640625,1130.5166015625
50,722.6524170804807,16.875732421875,18.0234375,20.279052734375,120.478515625,301.793701171875,308.23974609375,509.01806640625,1130.5166015625
50,740.1892844195078,16.88525390625,18.310546875,34.173095703125,124.358642578125,301.8125,413.8857421875,520.308349609375,923.119384765625
50,740.1892844195078,16.88525390625,18.310546875,34.173095703125,124.358642578125,301.8125,413.8857421875,520.308349609375,923.119384765625
60,633.6983412003599,16.872314453125,18.030517578125,20.25,121.32666015625,301.81689453125,308.142822265625,509.083984375,1129.14990234375
60,633.6983412003599,16.872314453125,18.030517578125,20.25,121.32666015625,301.81689453125,308.142822265625,509.083984375,1129.14990234375
60,624.875243159381,16.83642578125,17.7216796875,19.066650390625,120.2294921875,301.799072265625,308.214599609375,509.06689453125,1127.71826171875
60,624.875243159381,16.83642578125,17.7216796875,19.066650390625,120.2294921875,301.799072265625,308.214599609375,509.06689453125,1127.71826171875
60,625.5115620902413,16.869384765625,17.9619140625,33.01806640625,120.373046875,301.772216796875,413.9970703125,534.13232421875,1129.1943359375
60,625.5115620902413,16.869384765625,17.9619140625,33.01806640625,120.373046875,301.772216796875,413.9970703125,534.13232421875,1129.1943359375
70,544.3215495703398,16.833740234375,17.7177734375,18.671875,120.500244140625,301.75634765625,413.939453125,714.04443359375,1129.109130859375
70,544.3215495703398,16.833740234375,17.7177734375,18.671875,120.500244140625,301.75634765625,413.939453125,714.04443359375,1129.109130859375
70,559.0467333904985,16.853759765625,17.7509765625,114.85107421875,121.36572265625,301.78564453125,308.5478515625,509.23388671875,1128.0224609375
70,559.0467333904985,16.853759765625,17.7509765625,114.85107421875,121.36572265625,301.78564453125,308.5478515625,509.23388671875,1128.0224609375
70,535.75271282776,16.84619140625,17.785400390625,18.7216796875,120.769287109375,301.75390625,308.630126953125,714.413818359375,1129.629150390625
70,535.75271282776,16.84619140625,17.785400390625,18.7216796875,120.769287109375,301.75390625,308.630126953125,714.413818359375,1129.629150390625
80,496.38351388429635,16.866943359375,17.683837890625,18.700439453125,120.063232421875,301.808837890625,308.2060546875,509.129638671875,1334.629638671875
80,496.38351388429635,16.866943359375,17.683837890625,18.700439453125,120.063232421875,301.808837890625,308.2060546875,509.129638671875,1334.629638671875
80,490.83649944667206,16.852783203125,17.568603515625,18.25537109375,120.923828125,301.8173828125,308.224609375,509.052001953125,1129.289306640625
80,490.83649944667206,16.852783203125,17.568603515625,18.25537109375,120.923828125,301.8173828125,308.224609375,509.052001953125,1129.289306640625
80,477.7774754752318,16.854248046875,17.757568359375,18.377197265625,120.224609375,301.84033203125,308.22900390625,508.64404296875,923.2587890625
80,477.7774754752318,16.854248046875,17.757568359375,18.377197265625,120.224609375,301.84033203125,308.22900390625,508.64404296875,923.2587890625
