client_per_region,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
2,192.7100007653742,17.02392578125,22.14404296875,23.114990234375,23.87255859375,202.958740234375,302.039306640625,302.101806640625,302.917724609375
2,207.27920226311647,17.00439453125,22.141845703125,23.02392578125,24.07275390625,203.063232421875,301.9794921875,302.085205078125,302.6796875
10,962.7704229509337,19.4267578125,26.653076171875,29.805908203125,36.481201171875,203.8505859375,302.92919921875,304.290283203125,306.89990234375
10,970.8717328557959,19.4091796875,26.745849609375,29.37890625,36.769775390625,203.852294921875,303.225830078125,304.68310546875,307.19677734375
10,961.5708984381231,18.99755859375,26.769287109375,29.6201171875,36.441650390625,204.147216796875,304.061279296875,305.46875,309.757080078125
20,1751.638488128366,23.781982421875,36.8466796875,41.918212890625,55.4052734375,205.831787109375,305.3486328125,307.645751953125,313.43603515625
20,1719.4740454992614,23.278564453125,36.810302734375,42.735107421875,58.20751953125,205.859130859375,306.25927734375,309.696044921875,313.9296875
20,1719.2299281059604,23.496337890625,36.8759765625,42.571044921875,56.8466796875,205.86962890625,306.389892578125,309.06396484375,313.645263671875
30,1921.6386603408152,29.719970703125,63.80029296875,105.995849609375,162.18017578125,214.68603515625,421.2333984375,521.865478515625,732.709228515625
30,1881.987704930977,29.7529296875,64.7275390625,109.175537109375,172.76904296875,214.469482421875,433.392578125,523.578857421875,754.72998046875
30,1912.2190849783462,30.157470703125,64.191650390625,104.342041015625,163.596435546875,212.787109375,334.296630859375,518.691650390625,740.818603515625
40,1957.5872516353597,39.443603515625,112.60791015625,147.0791015625,237.918212890625,312.26904296875,533.57421875,717.9111328125,1001.54296875
40,1836.9336554382253,39.30126953125,110.08544921875,143.288330078125,206.205322265625,311.00927734375,526.48291015625,727.186767578125,954.639404296875
40,2002.6182965313526,40.003662109375,112.68017578125,145.2939453125,202.692626953125,310.90625,522.240966796875,621.884521484375,758.851318359375
50,1947.5775489545476,51.35400390625,151.260009765625,195.438232421875,313.686279296875,318.771484375,570.37890625,773.43115234375,1226.142822265625
50,1947.5775489545476,51.35400390625,151.260009765625,195.438232421875,313.686279296875,318.771484375,570.37890625,773.43115234375,1226.142822265625
50,1922.6060758695594,52.26025390625,153.390869140625,199.543701171875,349.507568359375,318.736083984375,580.132568359375,762.276611328125,1182.04736328125
50,1913.5873140659398,52.399658203125,158.073974609375,205.408203125,329.56787109375,319.0087890625,647.705322265625,787.012451171875,1186.5390625
60,1860.4909101604903,65.70068359375,201.9052734375,276.697509765625,463.8154296875,328.7666015625,749.867431640625,957.41552734375,1359.162353515625
60,1864.4571861129098,67.72802734375,201.741943359375,271.587890625,431.29296875,326.79931640625,730.487060546875,983.408203125,1425.59765625
60,1887.5553391928902,64.469482421875,194.394775390625,262.783203125,416.712158203125,329.142578125,758.65380859375,916.212158203125,1397.415771484375
4,414.5464981426987,17.02783203125,22.2001953125,23.23095703125,24.271484375,203.09033203125,301.9775390625,302.4208984375,305.471923828125
4,429.8768444646624,17.023193359375,22.30078125,23.17041015625,24.9091796875,203.255859375,301.908203125,302.0751953125,303.3671875
4,386.9689168064007,16.988525390625,21.96435546875,22.98876953125,24.917724609375,203.1337890625,301.95751953125,302.82470703125,307.10791015625
20,1826.815850238779,19.093017578125,28.133056640625,32.808837890625,91.125732421875,204.2529296875,307.251708984375,313.60546875,528.5078125
20,1833.8017379024784,19.03759765625,27.8466796875,32.787109375,97.090576171875,204.207275390625,306.90625,312.61767578125,626.65576171875
20,1848.3331068670159,18.883544921875,27.47119140625,33.10009765625,102.5224609375,204.16796875,306.7353515625,312.728271484375,529.201416015625
40,2455.154503823822,25.5322265625,72.650634765625,121.041015625,168.638427734375,309.970458984375,519.36181640625,638.81005859375,984.54541015625
40,2494.6920840046428,25.273681640625,70.7138671875,120.958740234375,167.397216796875,308.472900390625,517.97412109375,653.820556640625,942.298828125
40,2405.561877657169,25.397705078125,71.598388671875,121.26513671875,166.28564453125,309.646484375,521.992431640625,652.2724609375,939.947021484375
60,2301.028722074732,40.92431640625,151.619384765625,202.85546875,371.29638671875,322.23974609375,804.550048828125,978.130126953125,1590.278564453125
60,2301.028722074732,40.92431640625,151.619384765625,202.85546875,371.29638671875,322.23974609375,804.550048828125,978.130126953125,1590.278564453125
60,2395.461407505879,39.9833984375,147.023681640625,190.531494140625,297.453369140625,320.033935546875,743.42138671875,940.4287109375,1447.9423828125
60,2321.5357968232797,39.15673828125,149.752685546875,197.512939453125,351.033203125,322.5966796875,761.93994140625,953.239990234375,1369.97509765625
60,2321.5357968232797,39.15673828125,149.752685546875,197.512939453125,351.033203125,322.5966796875,761.93994140625,953.239990234375,1369.97509765625
80,2003.0687059364398,65.726806640625,246.3427734375,335.217529296875,550.472900390625,443.864501953125,1013.025390625,1291.688720703125,2354.342041015625
80,2003.0687059364398,65.726806640625,246.3427734375,335.217529296875,550.472900390625,443.864501953125,1013.025390625,1291.688720703125,2354.342041015625
80,2100.689878377843,68.295166015625,251.006591796875,333.729248046875,523.427734375,418.258056640625,1024.2958984375,1259.413330078125,1899.767578125
80,2100.689878377843,68.295166015625,251.006591796875,333.729248046875,523.427734375,418.258056640625,1024.2958984375,1259.413330078125,1899.767578125
80,2087.420051487971,68.052001953125,250.513671875,330.985595703125,538.346923828125,438.05712890625,1014.02978515625,1301.170654296875,2149.10693359375
80,2087.420051487971,68.052001953125,250.513671875,330.985595703125,538.346923828125,438.05712890625,1014.02978515625,1301.170654296875,2149.10693359375
