client_per_region,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
2,249.16453621125441,11.65576171875,15.111083984375,15.518310546875,16.10546875,209.716552734375,211.811279296875,212.2041015625,212.891357421875
10,1254.5047050182463,12.150390625,15.121337890625,15.83447265625,17.752685546875,210.835205078125,214.538818359375,215.91796875,221.405517578125
20,2440.726064563939,12.33837890625,15.739013671875,16.87548828125,19.479248046875,211.74560546875,216.272705078125,217.8046875,222.3427734375
30,3580.652450056883,13.05517578125,17.392333984375,18.974365234375,23.166259765625,213.130615234375,218.905517578125,221.02783203125,227.856689453125
40,4621.7693634405305,14.15185546875,19.38623046875,21.37744140625,25.429931640625,214.676513671875,222.064453125,224.5205078125,231.877685546875
50,5546.034759834643,15.822265625,22.09375,24.548583984375,29.541748046875,216.775390625,225.724609375,229.1064453125,241.176025390625
60,6263.502806626251,17.7724609375,25.4697265625,28.203857421875,34.2880859375,218.52587890625,228.8330078125,232.448486328125,240.661376953125
4,490.19371129008755,11.646484375,14.970947265625,15.519287109375,16.214111328125,209.877197265625,212.390625,213.692138671875,216.40478515625
20,2548.6648749016044,11.907958984375,14.836181640625,15.539306640625,17.21435546875,211.288330078125,215.785888671875,217.323486328125,220.41162109375
40,4587.225045443224,12.6650390625,15.6904296875,16.862548828125,20.125,214.153564453125,224.119873046875,253.042236328125,437.1875
60,7045.436305869099,13.57177734375,17.50146484375,19.01953125,22.50830078125,216.765380859375,227.70361328125,232.7626953125,245.085205078125
80,8189.36464104321,15.498046875,21.565673828125,23.962890625,30.7890625,222.857666015625,261.334228515625,331.792724609375,435.290283203125
100,9798.677425108435,19.109130859375,27.3564453125,30.22509765625,36.27783203125,228.01318359375,246.894775390625,255.579345703125,271.763671875
120,10396.406200268157,23.25244140625,33.976318359375,37.831787109375,47.88818359375,235.41748046875,261.6865234375,281.0908203125,343.1376953125
6,746.0764973253968,11.6103515625,14.796142578125,15.323974609375,16.039306640625,209.978759765625,214.148681640625,215.56689453125,217.632568359375
30,3623.0966452160005,12.00146484375,14.658447265625,15.314453125,17.499267578125,212.399658203125,221.083251953125,253.938720703125,471.520751953125
60,7165.105633709309,13.1181640625,16.009765625,17.056640625,19.527587890625,217.161865234375,231.165771484375,238.096435546875,258.29150390625
90,8744.940268667395,15.91943359375,21.942138671875,24.232177734375,31.331298828125,230.387451171875,288.14306640625,429.678955078125,684.98486328125
120,10721.507694456237,21.112548828125,30.562744140625,33.894775390625,41.138427734375,243.11669921875,274.262451171875,286.1005859375,308.887451171875
150,11332.080844144748,27.447998046875,41.719482421875,47.282958984375,65.095703125,260.97607421875,306.62060546875,324.3994140625,410.15966796875
180,11718.79940655874,34.280029296875,53.576904296875,62.12060546875,86.6962890625,277.6298828125,327.15380859375,342.774169921875,381.732666015625
180,11718.79940655874,34.280029296875,53.576904296875,62.12060546875,86.6962890625,277.6298828125,327.15380859375,342.774169921875,381.732666015625
