crt_ratio,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
1,8998.11824116466,10.939697265625,11.80810546875,12.126708984375,13.0751953125,214.932861328125,261.5537109375,291.181884765625,321.822265625
1,8782.8020294907,10.947265625,11.80810546875,12.1025390625,13.072509765625,216.0380859375,274.712890625,293.6494140625,327.51708984375
1,8826.265927406119,10.966064453125,11.809326171875,12.12548828125,13.30419921875,217.59375,276.26025390625,292.371337890625,324.008056640625
10,3865.137487501544,10.99951171875,11.8271484375,12.08056640625,12.656005859375,211.85986328125,217.71240234375,221.7021484375,239.541259765625
10,3834.4376279343937,11.02880859375,11.837158203125,12.09912109375,12.74267578125,211.86328125,218.934326171875,223.634033203125,246.3583984375
10,3857.8525923696916,11.010498046875,11.818359375,12.080078125,12.711181640625,211.494873046875,218.533935546875,222.138671875,240.94775390625
20,2289.9969306348876,11.07421875,11.85693359375,12.098876953125,12.659912109375,209.522216796875,214.45166015625,216.1484375,233.73828125
20,2393.2917060677196,11.04931640625,11.814208984375,12.074462890625,12.617919921875,209.7568359375,214.7265625,216.544677734375,237.26953125
20,2253.8898853456603,11.019287109375,11.822021484375,12.083251953125,12.662353515625,209.6943359375,215.246826171875,229.466064453125,512.28857421875
30,1640.1845314434604,11.03369140625,11.84765625,12.067626953125,12.5146484375,209.32177734375,213.714599609375,214.87109375,231.7919921875
30,1662.9278984176267,11.061767578125,11.848876953125,12.1171875,12.748291015625,209.372802734375,214.417236328125,220.095458984375,427.095458984375
30,1692.8215005405953,11.05908203125,11.8193359375,12.06103515625,12.605712890625,209.344970703125,213.690673828125,215.011474609375,246.177734375
40,1289.5253118706912,11.057861328125,11.84814453125,12.115234375,12.715576171875,209.280517578125,213.8212890625,229.6767578125,452.9384765625
40,1341.517773286352,11.06005859375,11.83447265625,12.065673828125,12.5234375,209.24267578125,212.73779296875,214.033447265625,222.806884765625
40,1291.187746939626,11.04541015625,11.826904296875,12.033935546875,12.53369140625,209.23828125,212.46630859375,213.646240234375,215.777587890625
50,1084.0682860025927,11.045166015625,11.85888671875,12.103515625,12.5908203125,209.19970703125,211.50830078125,213.482421875,229.14892578125
50,1087.2765951425258,10.999755859375,11.799072265625,12.029296875,12.663818359375,209.177490234375,210.82373046875,212.87744140625,215.17333984375
60,927.5528204107096,11.02685546875,11.808349609375,11.9921875,12.385986328125,209.1572265625,210.366455078125,212.517578125,215.4111328125
60,910.7398784192409,11.087646484375,11.894775390625,12.113037109375,12.65234375,209.212890625,213.4501953125,233.366943359375,429.006103515625
60,920.3832829202232,11.0654296875,11.848388671875,12.0712890625,12.571533203125,209.160400390625,210.263671875,212.316162109375,215.673583984375
70,762.9130520545865,11.038330078125,11.89990234375,12.167724609375,20.490966796875,209.194091796875,211.404296875,242.687255859375,470.591064453125
70,806.277531438044,11.116943359375,11.895263671875,12.09716796875,12.509033203125,209.14794921875,210.063720703125,211.19189453125,215.849609375
70,793.5476033159806,11.01123046875,11.888427734375,12.13818359375,12.63232421875,209.15478515625,210.267822265625,212.766357421875,232.433349609375
80,701.8395018100325,11.05810546875,11.871337890625,12.063232421875,12.674560546875,209.11669921875,209.964599609375,210.4755859375,216.2490234375
80,672.4681303431145,11.19677734375,11.919921875,12.13134765625,28.62255859375,209.17333984375,212.143310546875,239.84716796875,508.109619140625
80,698.4618058103795,11.094482421875,11.93017578125,12.080078125,12.482666015625,209.112548828125,210.080078125,211.129150390625,220.532958984375
90,633.0487626817312,11.152587890625,11.96435546875,12.16015625,12.474609375,209.1845703125,210.30810546875,218.698486328125,546.1611328125
90,630.1496071991039,10.921875,11.799560546875,12.24609375,12.90625,209.109375,209.897216796875,210.379638671875,217.62646484375
90,616.5246895801197,11.095947265625,12.05615234375,12.388671875,13.6142578125,209.1884765625,211.230224609375,227.6982421875,333.874267578125
